city_state,name,m_type,state_abrev,state_full
"Sylvania city, Georgia",Sylvania,city,GA,Georgia
"Sylvester city, Georgia",Sylvester,city,GA,Georgia
"Talbotton city, Georgia",Talbotton,city,GA,Georgia
"Talking Rock town, Georgia",Talking Rock,town,GA,Georgia
"Tallapoosa city, Georgia",Tallapoosa,city,GA,Georgia
"Tallulah Falls town, Georgia",Tallulah Falls,town,GA,Georgia
"Talmo town, Georgia",Talmo,town,GA,Georgia
"Tarrytown town, Georgia",Tarrytown,town,GA,Georgia
"Taylorsville town, Georgia",Taylorsville,town,GA,Georgia
"Temple city, Georgia",Temple,city,GA,Georgia
"Tennille city, Georgia",Tennille,city,GA,Georgia
"Thomaston city, Georgia",Thomaston,city,GA,Georgia
"Thomasville city, Georgia",Thomasville,city,GA,Georgia
"Thomson city, Georgia",Thomson,city,GA,Georgia
"Thunderbolt town, Georgia",Thunderbolt,town,GA,Georgia
"Tifton city, Georgia",Tifton,city,GA,Georgia
"Tiger town, Georgia",Tiger,town,GA,Georgia
"Tignall town, Georgia",Tignall,town,GA,Georgia
"Toccoa city, Georgia",Toccoa,city,GA,Georgia
"Toomsboro city, Georgia",Toomsboro,city,GA,Georgia
"Trenton city, Georgia",Trenton,city,GA,Georgia
"Trion town, Georgia",Trion,town,GA,Georgia
"Tucker city, Georgia",Tucker,city,GA,Georgia
"Tunnel Hill city, Georgia",Tunnel Hill,city,GA,Georgia
"Turin town, Georgia",Turin,town,GA,Georgia
